episode,reward,avg_loss,epsilon
0.0,-102.0,0.05559183789083597,1.0
1.0,-30.0,6.250025647291793,0.9057890438555999
2.0,-66.0,0.0005894878077449891,0.820543445547202
3.0,-18.0,0.011956349889439145,0.7434100384749007
4.0,24.0,0.023345679096723762,0.6736168455752829
5.0,144.0,0.010405325452625173,0.6104653531155071
6.0,78.0,0.005905614457786911,0.5533235197330861
7.0,84.0,0.0024355931519061454,0.5016194507534953
8.0,114.0,0.026639431716216827,0.45483567447604933
9.0,180.0,0.012263224239675899,0.4125039631431931
10.0,138.0,0.0006750495176015355,0.3742006467597279
11.0,180.0,0.0018370021630517502,0.3395423728610988
12.0,186.0,0.005099425834031741,0.30818226979308
13.0,186.0,0.011694233905110903,0.27980647510367246
14.0,228.0,0.015498966613525303,0.2541309943021904
15.0,216.0,0.023584106949324682,0.23089885854694553
16.0,216.0,0.012163794771073766,0.20987755281470882
17.0,222.0,0.0012354952694189905,0.19085668881220727
18.0,210.0,0.001827862693905728,0.17364589933937066
19.0,228.0,0.00433890491298184,0.1580729330304087
20.0,276.0,0.004352165981573612,0.1439819304042466
21.0,252.0,0.0069164576234277625,0.13123186397045208
22.0,276.0,0.005929801695078739,0.11969512677871053
23.0,276.0,0.0021472712922046915,0.10925625528557566
24.0,270.0,0.0009408508808241727,0.09981077375651834
25.0,258.0,0.0009547256883680971,0.0912641486376598
26.0,276.0,0.0026664349926045126,0.08353084243219053
27.0,276.0,0.02572077272178855,0.07653345761235225
28.0,276.0,0.0018630602860599593,0.07020196199896576
29.0,276.0,0.010686199245094995,0.06447298785584314
30.0,252.0,0.002915102527842425,0.05928919768418531
31.0,270.0,0.0016359224021795004,0.05459871036962222
32.0,288.0,0.0012144306566457925,0.05035458193858255
33.0,276.0,9.343123491089784e-05,0.046514335727227595
