0.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
1.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
3.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
4.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
5.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
6.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
7.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
8.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
10.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
11.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
13.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
14.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
17.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
18.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
19.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
20.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
21.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
22.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
23.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
24.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
25.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
26.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
27.000	0.397	-0.232	0.006	-0.527	-0.501	-0.506	-0.465	
28.000	0.397	-0.232	0.006	-0.525	-0.500	-0.508	-0.466	
29.000	0.397	-0.232	0.006	-0.525	-0.499	-0.508	-0.467	
30.000	0.397	-0.232	0.007	-0.525	-0.500	-0.507	-0.466	
31.000	0.397	-0.233	0.007	-0.527	-0.503	-0.504	-0.464	
34.000	0.396	-0.233	0.007	-0.531	-0.510	-0.497	-0.459	
35.000	0.396	-0.232	0.007	-0.531	-0.510	-0.497	-0.459	
36.000	0.396	-0.233	0.007	-0.532	-0.510	-0.496	-0.458	
37.000	0.396	-0.233	0.007	-0.535	-0.513	-0.493	-0.455	
38.000	0.396	-0.233	0.007	-0.538	-0.516	-0.490	-0.452	
39.000	0.396	-0.233	0.007	-0.541	-0.520	-0.486	-0.448	
41.000	0.396	-0.233	0.007	-0.547	-0.527	-0.479	-0.441	
44.000	0.396	-0.233	0.007	-0.556	-0.537	-0.468	-0.428	
45.000	0.396	-0.233	0.008	-0.560	-0.540	-0.464	-0.424	
46.000	0.396	-0.233	0.009	-0.563	-0.544	-0.460	-0.420	
47.000	0.395	-0.233	0.011	-0.565	-0.547	-0.456	-0.416	
49.000	0.395	-0.233	0.015	-0.571	-0.554	-0.448	-0.409	
50.000	0.395	-0.233	0.015	-0.574	-0.556	-0.444	-0.404	
51.000	0.395	-0.233	0.015	-0.577	-0.559	-0.440	-0.400	
52.000	0.395	-0.233	0.015	-0.580	-0.562	-0.437	-0.396	
53.000	0.395	-0.233	0.015	-0.582	-0.566	-0.433	-0.392	
54.000	0.395	-0.233	0.015	-0.585	-0.569	-0.429	-0.388	
57.000	0.395	-0.233	0.015	-0.593	-0.577	-0.417	-0.376	
58.000	0.395	-0.233	0.016	-0.596	-0.580	-0.413	-0.372	
59.000	0.395	-0.233	0.018	-0.599	-0.583	-0.409	-0.367	
61.000	0.395	-0.234	0.023	-0.604	-0.588	-0.401	-0.359	
62.000	0.395	-0.234	0.024	-0.606	-0.591	-0.397	-0.355	
63.000	0.395	-0.233	0.025	-0.608	-0.594	-0.393	-0.351	
64.000	0.395	-0.233	0.025	-0.610	-0.597	-0.388	-0.347	
65.000	0.395	-0.233	0.025	-0.613	-0.599	-0.384	-0.342	
66.000	0.395	-0.233	0.025	-0.616	-0.602	-0.380	-0.338	
68.000	0.395	-0.233	0.025	-0.620	-0.607	-0.372	-0.329	
69.000	0.395	-0.233	0.026	-0.622	-0.610	-0.367	-0.325	
70.000	0.395	-0.234	0.028	-0.625	-0.612	-0.363	-0.320	
71.000	0.395	-0.233	0.031	-0.627	-0.615	-0.359	-0.315	
72.000	0.395	-0.233	0.034	-0.629	-0.617	-0.355	-0.311	
74.000	0.395	-0.233	0.039	-0.633	-0.623	-0.346	-0.302	
75.000	0.395	-0.233	0.041	-0.636	-0.624	-0.342	-0.297	
77.000	0.394	-0.232	0.043	-0.640	-0.630	-0.334	-0.288	
78.000	0.394	-0.232	0.043	-0.642	-0.632	-0.329	-0.283	
79.000	0.394	-0.232	0.043	-0.644	-0.634	-0.325	-0.279	
80.000	0.394	-0.232	0.043	-0.646	-0.636	-0.321	-0.274	
81.000	0.394	-0.232	0.043	-0.648	-0.638	-0.316	-0.269	
82.000	0.394	-0.232	0.044	-0.652	-0.639	-0.311	-0.265	
83.000	0.394	-0.233	0.046	-0.654	-0.641	-0.307	-0.260	
84.000	0.394	-0.232	0.048	-0.656	-0.642	-0.303	-0.256	
86.000	0.394	-0.232	0.054	-0.659	-0.647	-0.295	-0.246	
87.000	0.395	-0.231	0.057	-0.661	-0.649	-0.290	-0.241	
88.000	0.395	-0.231	0.059	-0.662	-0.651	-0.286	-0.237	
89.000	0.395	-0.231	0.059	-0.664	-0.653	-0.281	-0.233	
90.000	0.395	-0.231	0.060	-0.665	-0.655	-0.277	-0.228	
91.000	0.395	-0.231	0.060	-0.667	-0.657	-0.272	-0.223	
93.000	0.395	-0.231	0.060	-0.670	-0.661	-0.263	-0.214	
94.000	0.395	-0.231	0.060	-0.671	-0.662	-0.259	-0.209	
